num,humanized,machine
0,24 August 1988,1988-08-24
1,6 November 2016,2016-11-06
2,Wednesday April 27 2005,2005-04-27
3,28 06 00,2000-06-28
4,December 21 1997,1997-12-21
5,19 Dec 2019,2019-12-19
6,5/22/14,2014-05-22
7,7 June 1994,1994-06-07
8,23 Feb 2015,2015-02-23
9,May 11 1980,1980-05-11
10,Monday July 7 2008,2008-07-07
11,24 Sep 2007,2007-09-24
12,January 23 1982,1982-01-23
13,2/11/75,1975-02-11
14,6/23/83,1983-06-23
15,11 12 72,1972-12-11
16,17 Sep 2017,2017-09-17
17,Thursday April 10 1975,1975-04-10
18,8 July 1978,1978-07-08
19,7/8/77,1977-07-08
20,Jul 13 1972,1972-07-13
21,Tuesday November 7 1972,1972-11-07
22,Sunday April 9 2000,2000-04-09
23,September 14 1987,1987-09-14
24,Friday October 26 1979,1979-10-26
25,Saturday January 17 2004,2004-01-17
26,14 Jun 2008,2008-06-14
27,Monday October 1 1990,1990-10-01
28,Thursday August 30 1979,1979-08-30
29,May 21 2000,2000-05-21
30,6/17/20,2020-06-17
31,March 28 1980,1980-03-28
32,Thursday November 19 1981,1981-11-19
33,28 May 2007,2007-05-28
34,Jun 28 2005,2005-06-28
35,21 Jun 2011,2011-06-21
36,7/26/93,1993-07-26
37,Saturday March 24 1984,1984-03-24
38,Tuesday January 20 1981,1981-01-20
39,Wednesday May 6 1992,1992-05-06
40,19 May 1984,1984-05-19
41,Wednesday December 15 1976,1976-12-15
42,10 October 1981,1981-10-10
43,April 8 1972,1972-04-08
44,Sunday November 2 1997,1997-11-02
45,Monday December 27 2010,2010-12-27
46,12/26/08,2008-12-26
47,Wednesday October 13 1982,1982-10-13
48,August 14 2014,2014-08-14
49,Nov 5 2004,2004-11-05
50,March 7 1979,1979-03-07
51,Tuesday March 22 1977,1977-03-22
52,January 2 2003,2003-01-02
53,Friday February 10 1995,1995-02-10
54,12 December 1975,1975-12-12
55,Monday April 1 2002,2002-04-01
56,8/22/21,2021-08-22
57,13 05 74,1974-05-13
58,February 9 2008,2008-02-09
59,Jul 2 2016,2016-07-02
60,Tuesday March 2 1976,1976-03-02
61,May 20 1982,1982-05-20
62,3 08 00,2000-08-03
63,February 5 1976,1976-02-05
64,26.02.88,1988-02-26
65,Sunday March 26 1989,1989-03-26
66,23 11 92,1992-11-23
67,Friday August 10 1984,1984-08-10
68,Thursday August 26 1976,1976-08-26
69,Monday June 23 1975,1975-06-23
70,December 29 1995,1995-12-29
71,04 Jul 2017,2017-07-04
72,July 7 2005,2005-07-07
73,December 13 1999,1999-12-13
74,Sunday March 12 2006,2006-03-12
75,Sunday February 27 1983,1983-02-27
76,27 April 2016,2016-04-27
77,Sunday December 19 1976,1976-12-19
78,June 3 1998,1998-06-03
79,Saturday May 19 2007,2007-05-19
80,Wednesday March 8 2017,2017-03-08
81,Jul 28 2002,2002-07-28
82,Monday April 7 1997,1997-04-07
83,Aug 16 1980,1980-08-16
84,8/14/96,1996-08-14
85,June 2 2007,2007-06-02
86,Aug 18 2018,2018-08-18
87,11 Sep 1993,1993-09-11
88,Wednesday December 27 1989,1989-12-27
89,Apr 7 2000,2000-04-07
90,22 April 1990,1990-04-22
91,11 Nov 2008,2008-11-11
92,July 6 1977,1977-07-06
93,23 June 2018,2018-06-23
94,Wednesday November 16 2016,2016-11-16
95,Sunday March 9 1980,1980-03-09
96,18 May 1987,1987-05-18
97,Sunday March 24 1996,1996-03-24
98,Sunday October 25 1992,1992-10-25
99,Thursday January 22 2015,2015-01-22
100,Sunday October 13 2013,2013-10-13
101,Sunday December 4 1983,1983-12-04
102,Friday February 13 2004,2004-02-13
103,Wednesday April 24 1985,1985-04-24
104,Friday January 14 2005,2005-01-14
105,January 18 1985,1985-01-18
106,Wednesday December 11 1985,1985-12-11
107,Wednesday May 27 2020,2020-05-27
108,Tuesday February 5 2008,2008-02-05
109,Thursday March 10 1994,1994-03-10
110,September 1 1985,1985-09-01
111,24 Jul 2002,2002-07-24
112,Friday May 14 1971,1971-05-14
113,Monday June 21 2010,2010-06-21
114,25 04 93,1993-04-25
115,12 October 1977,1977-10-12
116,Wednesday November 12 1986,1986-11-12
117,Monday December 19 2005,2005-12-19
118,15 Jun 1985,1985-06-15
119,6/5/89,1989-06-05
120,Friday November 19 2021,2021-11-19
121,Saturday March 13 1976,1976-03-13
122,3/17/83,1983-03-17
123,10 Apr 2022,2022-04-10
124,25 May 1983,1983-05-25
125,April 20 2000,2000-04-20
126,3 February 1975,1975-02-03
127,8/27/80,1980-08-27
128,Thursday January 22 2009,2009-01-22
129,8 June 1995,1995-06-08
130,6 Apr 1977,1977-04-06
131,Sunday March 19 1995,1995-03-19
132,Wednesday March 12 2008,2008-03-12
133,1/13/78,1978-01-13
134,26 October 1987,1987-10-26
135,Thursday June 30 2022,2022-06-30
136,Wednesday May 13 1992,1992-05-13
137,31 Jan 1996,1996-01-31
138,Thursday February 19 1976,1976-02-19
139,Sunday June 19 2016,2016-06-19
140,Sunday December 19 1999,1999-12-19
141,Friday January 10 2003,2003-01-10
142,Thursday February 3 2022,2022-02-03
143,07 Dec 1974,1974-12-07
144,Jun 24 2015,2015-06-24
145,Thursday February 3 2005,2005-02-03
146,Wednesday April 20 2011,2011-04-20
147,Thursday February 4 1982,1982-02-04
148,Sunday May 1 2016,2016-05-01
149,Saturday August 3 1974,1974-08-03
150,July 3 1989,1989-07-03
151,1/27/81,1981-01-27
152,28 Aug 1981,1981-08-28
153,January 31 1989,1989-01-31
154,Saturday September 9 1978,1978-09-09
155,Wednesday September 17 2003,2003-09-17
156,1/17/76,1976-01-17
157,5/31/99,1999-05-31
158,7 September 2015,2015-09-07
159,30 Jun 2021,2021-06-30
160,Mar 29 2004,2004-03-29
161,Tuesday November 21 1978,1978-11-21
162,28 Mar 1979,1979-03-28
163,8 October 1999,1999-10-08
164,25 August 1981,1981-08-25
165,Sunday June 30 1985,1985-06-30
166,16 January 1996,1996-01-16
167,19 Jan 2022,2022-01-19
168,Friday August 17 1973,1973-08-17
169,6 02 90,1990-02-06
170,March 2 1974,1974-03-02
171,Friday June 15 2007,2007-06-15
172,1 Sep 2006,2006-09-01
173,Thursday November 15 1973,1973-11-15
174,Friday June 15 2001,2001-06-15
175,September 6 2019,2019-09-06
176,2/19/98,1998-02-19
177,09 Feb 2011,2011-02-09
178,Feb 24 1992,1992-02-24
179,26 Dec 2007,2007-12-26
180,Wednesday March 13 1991,1991-03-13
181,Monday August 29 1988,1988-08-29
182,Tuesday April 13 1971,1971-04-13
183,26 November 1979,1979-11-26
184,30 Jul 1995,1995-07-30
185,Wednesday September 15 1976,1976-09-15
186,11/12/13,2013-11-12
187,17 Sep 2006,2006-09-17
188,Tuesday July 14 1987,1987-07-14
189,Tuesday May 22 2001,2001-05-22
190,8 March 1984,1984-03-08
191,Tuesday August 9 1977,1977-08-09
192,19 Jan 2021,2021-01-19
193,25.08.91,1991-08-25
194,Wednesday August 1 2018,2018-08-01
195,Thursday August 3 1978,1978-08-03
196,Sunday May 15 1983,1983-05-15
197,Thursday March 15 1973,1973-03-15
198,9 Nov 1975,1975-11-09
199,18.12.01,2001-12-18
200,Thursday February 6 1997,1997-02-06
201,05.11.81,1981-11-05
202,16 May 1990,1990-05-16
203,Saturday March 17 2001,2001-03-17
204,17 Mar 2007,2007-03-17
205,22.08.02,2002-08-22
206,14 September 1995,1995-09-14
207,12 January 1987,1987-01-12
208,01 Oct 1988,1988-10-01
209,21 Dec 1977,1977-12-21
210,Sunday October 29 2000,2000-10-29
211,Thursday April 9 2020,2020-04-09
212,6 11 09,2009-11-06
213,4 September 1979,1979-09-04
214,24 Jun 2020,2020-06-24
215,Sep 11 1973,1973-09-11
216,23.11.71,1971-11-23
217,23 April 1997,1997-04-23
218,30 Sep 2021,2021-09-30
219,Wednesday March 7 1990,1990-03-07
220,21.01.11,2011-01-21
221,Thursday July 18 1985,1985-07-18
222,April 7 2017,2017-04-07
223,Wednesday January 8 1992,1992-01-08
224,Sunday June 16 1985,1985-06-16
225,October 21 2003,2003-10-21
226,Saturday February 2 1985,1985-02-02
227,Thursday February 15 1973,1973-02-15
228,24.04.88,1988-04-24
229,28 December 1978,1978-12-28
230,Sunday April 16 2006,2006-04-16
231,February 26 1993,1993-02-26
232,Wednesday April 10 1996,1996-04-10
233,Saturday October 31 2009,2009-10-31
234,Monday August 26 1985,1985-08-26
235,15 Dec 2016,2016-12-15
